date,ticker,sector,open,high,low,close,volume,source,return_1d,return_5d,return_20d,close_norm_20d,rsi_14_norm,macd_diff_norm,bb_pband,volume_ratio_20d,atr_norm
2024-05-07,UNH,Healthcare,474.8,480.21,473.89,479.55,3752100,yfinance,0.013312202852614918,0.03567803382070278,0.089713000204513,1.0436372271183314,0.6441793500617032,0.004307710392645192,0.760909306779583,0.7729889586249733,0.019485529588751348
2024-05-08,UNH,Healthcare,482.62,485.33,478.71,481.71,3078900,yfinance,0.004504222708789474,0.03946743774545758,0.11812357829255826,1.0621897396357571,0.5781173792879204,0.004589670074575622,0.7655474349089391,0.6436789779408921,0.017113141575992658
2024-05-09,UNH,Healthcare,480.68,486.26,480.68,485.36,2342900,yfinance,0.007577172987897285,0.028522992159355942,0.14785734556806363,1.2135070396867915,0.5490877497827978,0.004927209735209389,0.8033767599216977,0.508417015228206,0.01581594810332241
2024-05-10,UNH,Healthcare,487.25,491.63,485.33,490.9,2784600,yfinance,0.01141420801054882,0.04134405294754018,0.16761410936422227,1.6148648659037912,0.6926519955240579,0.005500042336790827,0.9037162164759474,0.6264327348560348,0.015093268922969466
2024-05-13,UNH,Healthcare,490.17,492.68,485.63,489.87,2454500,yfinance,-0.0020981870034629813,0.03511885895404121,0.14833915469185888,1.7382000427657818,0.7456334069463969,0.005403557530092793,0.9345500106914448,0.570939427385786,0.014849420691787029
2024-05-14,UNH,Healthcare,492.59,494.11,485.62,491.92,2949700,yfinance,0.004184783718129248,0.02579501616098434,0.09595633285061833,1.8507332523126583,0.7504923198109497,0.005205873093159439,0.962683313078165,0.7650202361948433,0.014887728550519244
2024-05-15,UNH,Healthcare,492.83,500.26,492.83,495.43,2981200,yfinance,0.007135306553911258,0.028481866683274237,0.08049812440024429,1.9646986281921415,0.736096646531973,0.005138418902894541,0.9911746570480349,0.8358227367222864,0.014627985501771907
2024-05-16,UNH,Healthcare,497.78,505.59,497.31,498.99,3655800,yfinance,0.007185677088589637,0.028082248228119333,0.05695827155263711,1.9666800443147705,0.7473579262213365,0.0051569734038840005,0.9916700110786921,1.1059564883960484,0.015179233480201422
2024-05-17,UNH,Healthcare,500.59,503.38,497.79,502.21,2657200,yfinance,0.006453035130964402,0.023039315542880523,0.046903337433032544,1.9368704644912078,0.8601014370245147,0.005174297790592365,0.9842176161228017,0.8550966456797057,0.014572731384423686
2024-05-20,UNH,Healthcare,502.21,502.21,494.47,495.13,2476200,yfinance,-0.01409768821807611,0.010737542613346474,0.05293041850969704,1.214666310379137,0.82555780933063,0.00395433819990755,0.8036665775947843,0.8263889120647708,0.014915274776321352
2024-05-21,UNH,Healthcare,496.17,502.3,493.87,501.18,2521900,yfinance,0.01221901318845564,0.01882419905675725,0.07688010313708649,1.5171772181731942,0.8435225618631743,0.0035254099590951563,0.8792943045432985,0.8577395184632182,0.014282008745075887
2024-05-22,UNH,Healthcare,500.48,503.79,498.4,499.07,2299100,yfinance,-0.00421006424837389,0.007347152978220972,0.06986365974961406,1.2223476565579228,0.7795842766001244,0.002690747156888101,0.8055869141394804,0.80138589461833,0.013778485125189987
2024-05-23,UNH,Healthcare,496.17,498.0,493.21,494.74,3055400,yfinance,-0.00867613761596564,-0.008517204753602292,0.046492935104492705,0.7984081733318978,0.7224871256913984,0.0013145513476460968,0.6996020433329747,1.0891953842698712,0.013751811918525739
2024-05-24,UNH,Healthcare,494.05,495.04,485.83,486.45,2527800,yfinance,-0.016756276023770056,-0.03138129467752537,0.025876249525496497,0.10125798885610861,0.6120923913043478,-0.0008805580108632838,0.5253144972140271,0.904326298730337,0.014936199580047865
2024-05-28,UNH,Healthcare,485.0,485.0,480.45,482.16,2912800,yfinance,-0.008818994757940124,-0.02619514067012696,0.029970307393245577,-0.31238591817262606,0.5229470722700899,-0.002978934681895048,0.42190352045684354,1.0287980814229682,0.014926876674014551
2024-05-29,UNH,Healthcare,471.3,472.79,453.05,464.01,7521600,yfinance,-0.037643106022897,-0.07416497066922068,0.0021164935317365963,-1.8533626642990957,0.378534175130387,-0.006957531624672605,0.03665933392522636,2.47504911203467,0.01897280538904642
2024-05-30,UNH,Healthcare,461.71,465.26,457.57,461.07,5169700,yfinance,-0.006336070343311517,-0.07614162341956043,-0.005070993914807365,-2.051660684876943,0.3316701316701314,-0.009629504929840878,-0.012915171219235662,1.6354660478741663,0.019420664355272985
2024-05-31,UNH,Healthcare,461.79,477.11,461.79,474.2,6694800,yfinance,0.028477237729628957,-0.0415167562760238,0.004873913964823062,-0.9825925685805869,0.3952846751943817,-0.008832442222754365,0.25435185785485326,2.0179252576736952,0.020350063264445387
2024-06-03,UNH,Healthcare,473.01,477.37,472.0,476.18,2795100,yfinance,0.004175453395191875,-0.021112138965977967,0.010118580428925883,-0.8544229981317643,0.4151691659437353,-0.007843697197083322,0.2863942504670592,0.8386037971341478,0.020013440295686507
2024-06-04,UNH,Healthcare,477.25,486.55,473.45,483.89,3178400,yfinance,0.016191356209836583,0.0035880205740832505,0.02248283148441632,-0.24815980602127988,0.45350318471337564,-0.005796298752388808,0.43796004849468,0.9374470024200078,0.02037505572399867
2024-06-05,UNH,Healthcare,486.96,487.34,477.48,481.62,2464400,yfinance,-0.004691148814813251,0.03795176828085611,0.004316546762589857,-0.4599906314981174,0.4188696980378333,-0.004681877323884802,0.3850023421254707,0.7409278133549803,0.020696518298362075
2024-06-06,UNH,Healthcare,482.13,483.13,476.03,480.47,2419600,yfinance,-0.0023877745940782402,0.04207604051445557,-0.0025741628780800996,-0.5549852169335989,0.3880290205562273,-0.003945325881456113,0.3612536957666002,0.7347406043177701,0.0202911434934246
2024-06-07,UNH,Healthcare,480.59,481.37,469.46,469.72,3416300,yfinance,-0.022373925531250616,-0.009447490510333112,-0.032223504203065745,-1.3651879867830095,0.3199601019616537,-0.004860277121788187,0.15870300330424753,1.0207645799501315,0.02171658495638741
2024-06-10,UNH,Healthcare,470.02,474.22,465.41,473.85,3332800,yfinance,0.008792472111044836,-0.004893107648368256,-0.03473212466897524,-0.9288436292876261,0.37809349220898275,-0.004565131092828353,0.2677890926780934,0.9877260340553284,0.021688599466377266
2024-06-11,UNH,Healthcare,469.88,476.51,469.34,475.01,4599700,yfinance,0.0024480320776616438,-0.01835127818305815,-0.03033457856165922,-0.7630245928224776,0.3411821823036775,-0.00403449764484528,0.3092438517943806,1.3211928851995203,0.021446165043141976
2024-06-12,UNH,Healthcare,478.63,478.63,466.59,472.0,4048200,yfinance,-0.006336708700869442,-0.019974253560898658,-0.04049438933159866,-0.9157935625393607,0.33749549765878245,-0.0039507747176890495,0.27105160936516,1.144723447573804,0.02258928571428574
2024-06-13,UNH,Healthcare,469.33,480.55,463.68,476.05,4951700,yfinance,0.008580508474576254,-0.009199325660291024,-0.03911753426316533,-0.5209424152552841,0.38742320202385244,-0.00311583766251254,0.36976439618617907,1.3622564427051451,0.024049094482872468
2024-06-14,UNH,Healthcare,475.6,476.58,470.72,475.88,3188400,yfinance,-0.0003571053460771356,0.01311419569104988,-0.04631355337782328,-0.46066042304905486,0.42942983041794636,-0.0024817852379395377,0.38483489423773637,0.8828330179105676,0.023554857767264265
2024-06-17,UNH,Healthcare,472.33,474.05,469.8,470.31,2407200,yfinance,-0.011704631419685585,-0.007470718581829683,-0.0635192449373767,-0.8631859639743091,0.4222134698700274,-0.002734758953820876,0.284203509006423,0.6688422377540771,0.023845973932087355
2024-06-18,UNH,Healthcare,471.73,472.65,460.51,462.45,3692700,yfinance,-0.016712381195381765,-0.02644154859897685,-0.06600286793367405,-1.4377598366507152,0.48816029143897993,-0.00385856978426762,0.14056004083732124,1.0089675071313813,0.021630137621055562
2024-06-20,UNH,Healthcare,461.48,467.13,459.62,465.78,5258100,yfinance,0.007200778462536528,-0.013177966101694971,-0.07063330539925783,-1.0752681909020203,0.5355364418288817,-0.0038315610631591062,0.23118295227449484,1.384916861792772,0.021447893855468247
2024-06-21,UNH,Healthcare,465.71,469.42,462.0,463.93,6368600,yfinance,-0.003971832195457048,-0.025459510555613907,-0.07041096439377237,-1.2342718398924122,0.4066193853427895,-0.0038784443655976012,0.19143204002689712,1.592084326521531,0.020206250327173745
2024-06-24,UNH,Healthcare,469.95,471.91,465.76,471.03,5139800,yfinance,0.015304032936003242,-0.010191644952509127,-0.04792416218619888,-0.31561874216390373,0.45716186990517343,-0.002647331511025021,0.4210953144590241,1.2522704375929645,0.02029746361317599
2024-06-25,UNH,Healthcare,471.67,471.67,462.01,465.76,2916100,yfinance,-0.01118824703309762,-0.009674470030405447,-0.042532634392023816,-0.9702585427437739,0.34281255418761875,-0.002479305441116586,0.2574353643140567,0.7071390465105,0.019999570594297494
2024-06-26,UNH,Healthcare,465.76,468.59,462.85,465.32,3153100,yfinance,-0.0009446925455169897,0.006206076332576416,-0.03492616558818651,-0.9443877427780875,0.3540472779369622,-0.0022455972176038067,0.26390306430547766,0.7623890333586004,0.019386044626739207
2024-06-27,UNH,Healthcare,466.29,470.07,463.41,467.63,2991900,yfinance,0.004964325625376187,0.003971832195457159,0.00780155600094834,-0.6308879417995805,0.3873684210526311,-0.0016079160194944406,0.34227801455010487,0.7653229581539548,0.019223073186676886
